时间戳[G]	当前价[0]	成交总额[2]	成交总量[1]	原始成交总量[v]	持仓量[3]	昨结算[4]	成交笔数[5]	开盘价[8]	最高价[9]	最低价[a]	今结算[b]	前收盘[c]	证券状态[h]	市盈率2[7]	多档委买价[d]	多档委买量[e]	多档委卖价[f]	多档委卖量[g]
2019-12-2414:58:39	16.39	747976540.35	456459	0	18	0.00	29417	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,0.000000,0.000000,0.000000,0.000000	1280,0,0,0,0	16.400000,0.000000,0.000000,0.000000,0.000000	1280,541,0,0,0
2019-12-2414:58:30	16.39	747976540.35	456459	0	18	0.00	29417	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,0.000000,0.000000,0.000000,0.000000	1245,0,0,0,0	16.400000,0.000000,0.000000,0.000000,0.000000	1245,116,0,0,0
2019-12-2414:58:21	16.39	747976540.35	456459	0	18	0.00	29417	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,0.000000,0.000000,0.000000,0.000000	1174,0,0,0,0	16.400000,0.000000,0.000000,0.000000,0.000000	1174,92,0,0,0
2019-12-2414:58:12	16.39	747976540.35	456459	0	18	0.00	29417	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,0.000000,0.000000,0.000000,0.000000	1127,0,0,0,0	16.400000,0.000000,0.000000,0.000000,0.000000	1127,87,0,0,0
2019-12-2414:58:03	16.39	747976540.35	456459	0	18	0.00	29417	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,0.000000,0.000000,0.000000,0.000000	1075,0,0,0,0	16.400000,0.000000,0.000000,0.000000,0.000000	1075,80,0,0,0
2019-12-2414:57:54	16.39	747976540.35	456459	0	18	0.00	29417	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,0.000000,0.000000,0.000000,0.000000	1037,22,0,0,0	16.400000,0.000000,0.000000,0.000000,0.000000	1037,0,0,0,0
2019-12-2414:57:45	16.39	747976540.35	456459	0	18	0.00	29417	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,0.000000,0.000000,0.000000,0.000000	357,1526,0,0,0	16.390000,0.000000,0.000000,0.000000,0.000000	357,0,0,0,0
2019-12-2414:57:36	16.39	747976540.35	456459	0	18	0.00	29417	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,0.000000,0.000000,0.000000,0.000000	356,1342,0,0,0	16.390000,0.000000,0.000000,0.000000,0.000000	356,0,0,0,0
2019-12-2414:57:27	16.39	747976540.35	456459	0	18	0.00	29417	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,0.000000,0.000000,0.000000,0.000000	194,0,0,0,0	16.400000,0.000000,0.000000,0.000000,0.000000	194,349,0,0,0
2019-12-2414:57:18	16.39	747976540.35	456459	0	18	0.00	29417	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,0.000000,0.000000,0.000000,0.000000	155,961,0,0,0	16.390000,0.000000,0.000000,0.000000,0.000000	155,0,0,0,0
2019-12-2414:57:09	16.39	747976540.35	456459	0	18	0.00	29417	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,0.000000,0.000000,0.000000,0.000000	95,0,0,0,0	16.400000,0.000000,0.000000,0.000000,0.000000	95,175,0,0,0
2019-12-2414:57:00	16.39	747976540.35	456459	0	18	0.00	29417	16.23	16.50	16.23	0.00	16.24	0	0.00	0.000000,0.000000,0.000000,0.000000,0.000000	0,0,0,0,0	0.000000,0.000000,0.000000,0.000000,0.000000	0,0,0,0,0
2019-12-2414:56:57	16.41	747599650.85	456229	0	13	0.00	29408	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	29,990,2010,998,780	16.410000,16.420000,16.430000,16.440000,16.450000	67,302,485,1850,716
2019-12-2414:56:54	16.39	747591457.60	456224	0	13	0.00	29407	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	976,2009,998,780,821	16.420000,16.430000,16.440000,16.450000,16.460000	300,485,1850,716,943
2019-12-2414:56:51	16.40	747403367.68	456112	0	13	0.00	29393	16.23	16.50	16.23	0.00	16.24	0	0.00	16.410000,16.400000,16.390000,16.380000,16.370000	3,97,978,2025,998	16.420000,16.430000,16.440000,16.450000,16.460000	310,485,1850,720,943
2019-12-2414:56:48	16.42	747321435.68	456062	0	13	0.00	29385	16.23	16.50	16.23	0.00	16.24	0	0.00	16.410000,16.400000,16.390000,16.380000,16.370000	45,43,991,2073,998	16.420000,16.430000,16.440000,16.450000,16.460000	210,485,1850,735,943
2019-12-2414:56:45	16.41	747077278.32	455913	0	13	0.00	29378	16.23	16.50	16.23	0.00	16.24	0	0.00	16.410000,16.400000,16.390000,16.380000,16.370000	171,32,993,2073,998	16.420000,16.430000,16.440000,16.450000,16.460000	222,485,1850,742,943
2019-12-2414:56:42	16.40	746857700.56	455779	0	13	0.00	29370	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	969,2073,998,780,821	16.400000,16.410000,16.420000,16.430000,16.440000	48,28,222,485,1850
2019-12-2414:56:39	16.39	746656147.84	455656	0	13	0.00	29349	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	1042,2073,998,780,826	16.400000,16.410000,16.420000,16.430000,16.440000	3,28,223,485,1850
2019-12-2414:56:36	16.40	746544720.32	455588	0	13	0.00	29339	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	28,1066,2072,998,780	16.410000,16.420000,16.430000,16.440000,16.450000	47,212,474,1850,742
2019-12-2414:56:33	16.41	746369385.84	455481	0	13	0.00	29337	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	129,1056,2062,998,780	16.410000,16.420000,16.430000,16.440000,16.450000	53,212,474,1850,747
2019-12-2414:56:30	16.40	746277622.00	455425	0	13	0.00	29330	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	158,1036,2062,1002,780	16.410000,16.420000,16.430000,16.440000,16.450000	70,107,474,1850,747
2019-12-2414:56:27	16.40	746089178.40	455310	0	13	0.00	29323	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	262,1019,2052,1002,800	16.410000,16.420000,16.430000,16.440000,16.450000	87,97,474,1850,747
2019-12-2414:56:24	16.39	746044935.12	455283	0	13	0.00	29321	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	59,1031,2047,1002,800	16.410000,16.420000,16.430000,16.440000,16.450000	108,97,474,1845,747
2019-12-2414:56:21	16.40	745441915.60	454915	0	13	0.00	29300	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	88,1132,2077,1002,800	16.410000,16.420000,16.430000,16.440000,16.450000	257,97,474,1845,734
2019-12-2414:56:18	16.40	745387840.48	454882	0	13	0.00	29294	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	121,1131,2077,1002,800	16.410000,16.420000,16.430000,16.440000,16.450000	271,97,450,1845,734
2019-12-2414:56:15	16.40	745186287.76	454759	0	13	0.00	29289	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	180,1125,2077,1002,800	16.410000,16.420000,16.430000,16.440000,16.450000	274,97,450,1845,734
2019-12-2414:56:12	16.40	745104355.76	454709	0	13	0.00	29282	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	756,2083,1002,816,826	16.400000,16.410000,16.420000,16.430000,16.440000	6,303,110,450,1845
2019-12-2414:56:09	16.39	744863475.68	454562	0	13	0.00	29267	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	775,2079,1002,816,826	16.400000,16.410000,16.420000,16.430000,16.440000	27,285,111,450,1845
2019-12-2414:56:06	16.39	744863475.68	454562	0	13	0.00	29267	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	735,2079,1002,800,826	16.410000,16.420000,16.430000,16.440000,16.450000	259,111,450,1845,731
2019-12-2414:56:03	16.40	744237515.20	454180	0	13	0.00	29256	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	247,828,2078,1002,800	16.410000,16.420000,16.430000,16.440000,16.450000	109,111,450,1845,731
2019-12-2414:56:00	16.39	744204742.40	454160	0	13	0.00	29249	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	818,2078,1002,800,826	16.400000,16.410000,16.420000,16.430000,16.440000	18,109,111,450,1845
2019-12-2414:55:57	16.41	743978610.08	454022	0	13	0.00	29240	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	117,812,2078,1002,800	16.410000,16.420000,16.430000,16.440000,16.450000	109,111,555,1845,731
2019-12-2414:55:54	16.40	743968778.24	454016	0	13	0.00	29237	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	11,802,2078,1002,800	16.410000,16.420000,16.430000,16.440000,16.450000	81,111,555,1845,731
2019-12-2414:55:51	16.40	743632857.04	453811	0	13	0.00	29223	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	858,2078,998,800,826	16.400000,16.410000,16.420000,16.430000,16.440000	87,81,111,555,1845
2019-12-2414:55:48	16.40	743570588.72	453773	0	13	0.00	29215	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	660,2076,998,800,826	16.400000,16.410000,16.420000,16.430000,16.440000	80,81,97,542,1845
2019-12-2414:55:45	16.40	743300213.12	453608	0	13	0.00	29205	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	85,640,2075,998,800	16.410000,16.420000,16.430000,16.440000,16.450000	81,88,542,1845,731
2019-12-2414:55:42	16.40	743190424.24	453541	0	13	0.00	29198	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	50,576,2065,998,800	16.410000,16.420000,16.430000,16.440000,16.450000	74,88,547,1845,731
2019-12-2414:55:39	16.40	742992148.80	453420	0	13	0.00	29193	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	160,595,2065,998,800	16.410000,16.420000,16.430000,16.440000,16.450000	73,88,497,1845,731
2019-12-2414:55:36	16.40	742816814.32	453313	0	13	0.00	29184	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	607,2065,998,800,836	16.400000,16.410000,16.420000,16.430000,16.440000	42,73,88,503,1845
2019-12-2414:55:33	16.40	742584127.44	453171	0	13	0.00	29171	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	706,2065,1018,791,836	16.400000,16.410000,16.420000,16.430000,16.440000	61,68,82,503,1845
2019-12-2414:55:30	16.39	742530052.32	453138	0	13	0.00	29168	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	697,2065,1018,791,841	16.400000,16.410000,16.420000,16.430000,16.440000	70,25,60,473,1845
2019-12-2414:55:27	16.40	741761530.16	452669	0	13	0.00	29127	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	297,811,2065,1018,791	16.410000,16.420000,16.430000,16.440000,16.450000	3,69,468,1845,731
2019-12-2414:55:24	16.41	741707455.04	452636	0	13	0.00	29124	16.23	16.50	16.23	0.00	16.24	0	0.00	16.410000,16.400000,16.390000,16.380000,16.370000	24,303,788,2074,1018	16.420000,16.430000,16.440000,16.450000,16.460000	42,336,1845,711,947
2019-12-2414:55:21	16.40	741632077.60	452590	0	13	0.00	29118	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	332,788,2076,1018,791	16.420000,16.430000,16.440000,16.450000,16.460000	37,327,1845,711,947
2019-12-2414:55:18	16.41	740949158.88	452176	0	13	0.00	29097	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	697,788,2076,1018,791	16.410000,16.420000,16.430000,16.440000,16.450000	6,38,322,1845,710
2019-12-2414:55:15	16.40	740859034.23	452121	0	13	0.00	29089	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	644,779,2076,1018,791	16.410000,16.420000,16.430000,16.440000,16.450000	5,66,322,1845,707
2019-12-2414:55:12	16.42	740585383.02	451954	0	13	0.00	29082	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	743,779,2088,1018,791	16.420000,16.430000,16.440000,16.450000,16.460000	57,322,1845,707,960
2019-12-2414:55:09	16.40	740321563.59	451793	0	13	0.00	29061	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	716,783,2088,1043,791	16.410000,16.420000,16.430000,16.440000,16.450000	17,147,559,1845,707
2019-12-2414:55:06	16.41	740026610.19	451613	0	13	0.00	29054	16.23	16.50	16.23	0.00	16.24	0	0.00	16.410000,16.400000,16.390000,16.380000,16.370000	30,866,774,2088,1074	16.420000,16.430000,16.440000,16.450000,16.460000	188,559,1845,707,960
2019-12-2414:55:03	16.41	739854554.04	451508	0	13	0.00	29047	16.23	16.50	16.23	0.00	16.24	0	0.00	16.410000,16.400000,16.390000,16.380000,16.370000	108,866,770,2088,1074	16.420000,16.430000,16.440000,16.450000,16.460000	156,559,1844,707,960
2019-12-2414:55:00	16.41	739679220.63	451401	0	13	0.00	29041	16.23	16.50	16.23	0.00	16.24	0	0.00	16.410000,16.400000,16.390000,16.380000,16.370000	191,866,770,2091,1074	16.420000,16.430000,16.440000,16.450000,16.460000	155,559,1844,706,960
2019-12-2414:54:57	16.41	739656279.81	451387	0	13	0.00	29038	16.23	16.50	16.23	0.00	16.24	0	0.00	16.410000,16.400000,16.390000,16.380000,16.370000	110,866,751,2070,1074	16.420000,16.430000,16.440000,16.450000,16.460000	160,559,1844,706,960
2019-12-2414:54:54	16.41	739425232.98	451246	0	13	0.00	29036	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	875,753,2070,1074,791	16.410000,16.420000,16.430000,16.440000,16.450000	39,142,547,1814,700
2019-12-2414:54:51	16.41	739299058.47	451169	0	13	0.00	29032	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	747,698,2066,1074,791	16.410000,16.420000,16.430000,16.440000,16.450000	16,98,545,1814,700
2019-12-2414:54:48	16.42	739108977.39	451053	0	13	0.00	29023	16.23	16.50	16.23	0.00	16.24	0	0.00	16.410000,16.400000,16.390000,16.380000,16.370000	16,829,688,2056,1074	16.420000,16.430000,16.440000,16.450000,16.460000	78,545,1814,700,960
2019-12-2414:54:45	16.41	739033600.41	451007	0	13	0.00	29020	16.23	16.50	16.23	0.00	16.24	0	0.00	16.410000,16.400000,16.390000,16.380000,16.370000	41,845,638,2046,1074	16.420000,16.430000,16.440000,16.450000,16.460000	79,545,1814,700,960
2019-12-2414:54:42	16.40	738845157.96	450892	0	13	0.00	29016	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	944,618,2027,1074,791	16.410000,16.420000,16.430000,16.440000,16.450000	6,71,545,1814,703
2019-12-2414:54:39	16.41	738840242.07	450889	0	13	0.00	29013	16.23	16.50	16.23	0.00	16.24	0	0.00	16.410000,16.400000,16.390000,16.380000,16.370000	1,887,618,2027,1074	16.420000,16.430000,16.440000,16.450000,16.460000	72,543,1808,703,960
2019-12-2414:54:36	16.40	738468273.06	450662	0	13	0.00	28999	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	810,525,2027,1074,788	16.410000,16.420000,16.430000,16.440000,16.450000	26,87,538,1808,698
2019-12-2414:54:33	16.40	738297855.54	450558	0	13	0.00	28989	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	816,561,2111,1074,788	16.410000,16.420000,16.430000,16.440000,16.450000	86,121,538,1808,693
2019-12-2414:54:30	16.41	738030758.85	450395	0	13	0.00	28982	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	112,585,1621,1071,798	16.410000,16.420000,16.430000,16.440000,16.450000	120,121,538,1808,693
2019-12-2414:54:27	16.41	738030758.85	450395	0	13	0.00	28982	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	63,581,1621,1076,798	16.410000,16.420000,16.430000,16.440000,16.450000	120,117,534,1808,693
2019-12-2414:54:24	16.42	737852561.18	450289	0	13	0.00	28976	16.23	16.50	16.23	0.00	16.24	0	0.00	16.410000,16.400000,16.390000,16.380000,16.370000	74,66,481,1621,1076	16.420000,16.430000,16.440000,16.450000,16.460000	95,532,1808,691,958
2019-12-2414:54:21	16.42	737811595.68	450264	0	13	0.00	28972	16.23	16.50	16.23	0.00	16.24	0	0.00	16.410000,16.400000,16.390000,16.380000,16.370000	14,53,451,1621,1076	16.420000,16.430000,16.440000,16.450000,16.460000	94,537,1808,691,958
2019-12-2414:54:18	16.41	737533030.28	450094	0	13	0.00	28958	16.23	16.50	16.23	0.00	16.24	0	0.00	16.400000,16.390000,16.380000,16.370000,16.360000	124,352,1616,1076,798	16.410000,16.420000,16.430000,16.440000,16.450000	3,143,537,1808,711
2019-12-2414:54:15	16.41	737480594.44	450062	0	13	0.00	28950	16.23	16.50	16.23	0.00	16.24	0	0.00	16.410000,16.400000,16.390000,16.380000,16.370000	30,9,409,1616,1076	16.420000,16.430000,16.440000,16.450000,16.460000	143,537,1808,723,958
2019-12-2414:54:12	16.41	737301984.86	449953	0	13	0.00	28947	16.23	16.50	16.23	0.00	16.24	0	0.00	16.410000,16.400000,16.390000,16.380000,16.370000	136,5,378,1606,1076	16.420000,16.430000,16.440000,16.450000,16.460000	143,537,1808,723,958
2019-12-2414:54:09	16.41	737254464.88	449924	0	13	0.00	28946	16.23	16.50	16.23	0.00	16.24	0	0.00	16.410000,16.400000,16.390000,16.380000,16.370000	163,5,368,1633,1076	16.420000,16.430000,16.440000,16.450000,16.460000	143,537,1808,689,958
2019-12-2414:54:06	16.41	736980815.34	449757	0	13	0.00	28940	16.23	16.50	16.23	0.00	16.24	0	0.00	16.410000,16.400000,16.390000,16.380000,16.370000	330,5,346,1623,1076	16.420000,16.430000,16.440000,16.450000,16.460000	143,532,1808,689,958
2019-12-2414:54:03	16.39	735873108.22	449081	0	13	0.00	28892	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	306,1616,1076,796,896	16.400000,16.410000,16.420000,16.430000,16.440000	567,103,56,529,1808
2019-12-2414:54:00	16.40	735632231.08	448934	0	13	0.00	28886	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	337,1604,1076,796,896	16.400000,16.410000,16.420000,16.430000,16.440000	532,96,56,529,1808
2019-12-2414:53:57	16.39	735540468.36	448878	0	13	0.00	28880	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	336,1599,1076,796,911	16.400000,16.410000,16.420000,16.430000,16.440000	545,96,56,529,1808
2019-12-2414:53:54	16.39	735342195.34	448757	0	13	0.00	28877	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	444,1599,1076,796,911	16.400000,16.410000,16.420000,16.430000,16.440000	550,96,56,529,1808
2019-12-2414:53:51	16.39	735255348.48	448704	0	13	0.00	28875	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	487,1605,1076,796,911	16.400000,16.410000,16.420000,16.430000,16.440000	550,96,56,529,1808
2019-12-2414:53:48	16.39	734960396.88	448524	0	13	0.00	28868	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	552,1590,1076,796,911	16.400000,16.410000,16.420000,16.430000,16.440000	584,96,56,529,1808
2019-12-2414:53:45	16.39	734105037.24	448002	0	13	0.00	28861	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	518,1573,1076,796,911	16.400000,16.410000,16.420000,16.430000,16.440000	1089,96,56,529,1830
2019-12-2414:53:42	16.40	733883823.54	447867	0	13	0.00	28850	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	79,1649,1076,796,911	16.400000,16.410000,16.420000,16.430000,16.440000	1078,96,56,532,1830
2019-12-2414:53:39	16.39	733693743.62	447751	0	13	0.00	28841	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	26,1642,1076,796,911	16.400000,16.410000,16.420000,16.430000,16.440000	1156,96,56,539,1830
2019-12-2414:53:36	16.40	733438118.90	447595	0	13	0.00	28827	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	182,1636,1076,796,911	16.400000,16.410000,16.420000,16.430000,16.440000	1136,96,56,539,1830
2019-12-2414:53:33	16.40	733251316.22	447481	0	13	0.00	28823	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	190,1604,1076,796,901	16.400000,16.410000,16.420000,16.430000,16.440000	1228,96,57,539,1830
2019-12-2414:53:30	16.40	733075983.88	447374	0	13	0.00	28810	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	289,1611,1076,796,901	16.400000,16.410000,16.420000,16.430000,16.440000	1221,96,57,539,1830
2019-12-2414:53:27	16.40	732985859.78	447319	0	13	0.00	28809	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	262,1606,1076,796,901	16.400000,16.410000,16.420000,16.430000,16.440000	1256,96,58,539,1830
2019-12-2414:53:24	16.40	732735150.92	447166	0	13	0.00	28798	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	331,1626,1076,796,899	16.400000,16.410000,16.420000,16.430000,16.440000	1260,71,58,544,1834
2019-12-2414:53:21	16.39	732528684.80	447040	0	13	0.00	28785	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	387,1619,1076,796,899	16.400000,16.410000,16.420000,16.430000,16.440000	1202,71,58,544,1836
2019-12-2414:53:18	16.40	732087896.02	446771	0	13	0.00	28775	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	558,1614,1076,796,899	16.400000,16.410000,16.420000,16.430000,16.440000	1170,71,58,544,1836
2019-12-2414:53:15	16.39	732030544.32	446736	0	13	0.00	28772	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	537,1527,1076,796,899	16.400000,16.410000,16.420000,16.430000,16.440000	1207,71,58,544,1836
2019-12-2414:53:12	16.39	731832271.30	446615	0	13	0.00	28769	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	637,1517,1076,791,899	16.400000,16.410000,16.420000,16.430000,16.440000	1204,71,58,544,1836
2019-12-2414:53:09	16.39	731722483.76	446548	0	13	0.00	28765	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	641,1527,1076,771,879	16.400000,16.410000,16.420000,16.430000,16.440000	1227,71,59,544,1836
2019-12-2414:53:06	16.40	731370180.46	446333	0	13	0.00	28747	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	657,1502,1076,771,879	16.400000,16.410000,16.420000,16.430000,16.440000	1244,71,59,546,1836
2019-12-2414:53:03	16.39	731052288.18	446139	0	13	0.00	28741	16.23	16.50	16.23	0.00	16.24	0	0.00	16.390000,16.380000,16.370000,16.360000,16.350000	803,1502,1076,771,859	16.400000,16.410000,16.420000,16.430000,16.440000	1254,71,74,546,1836
